#MamaBear,#NeverBama1,12th Man,Aaron's Team,ADTESQ,After Further Review,Amy Senders,Backroom Deals,Best Logo Wins,Biscuit's Ball,Blind Dog's Bluff,Blindhog 2017,Bumblerooski,Cjepson,ConflictofInterest,Corgidawg,Cowboy,CUTIE PIE,D-bo,Dirk Diggler,Do. Or do not.,Doc,Eclipse,EM43,EVA,Fake News,Gkid7,GlamKam,Godiva,GoForBones,Gussysue,Invanka Trump,Jake and the Neverland Pirates,Katyusa,Krazy Koochies,LaDolceVida,LUCKY IN 2017,Maine Chic,O'Pooh,OSUX3 Fan,Putin's Dog,Red Five,SantaCruzBill,Spem in perpetuum,Spiker,T-Bone,Team Ellie Mae,Texas Giants,THE BEAVERS WON THE CIVIL WAR AND THAT IS ALL THAT MATTERS,The Dude,The force is strong with this one,Thetis,Troll Factory Inc,Trollmaster,Tyrone Swoopes,West Coast Bias,You are my only hope,Zena,
A,W,A,O,A,O,A,W,A,A,A,A,O,A,A,A,O,A,O,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,W,A,A,A,C,O,A,A,A,A,A,A,A,A,O,A,A,C,W,A,A,A,A,A,
N,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,N,
Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,
Y,N,N,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,
122,69,100,95,0,112,0,110,98,0,0,97,106,131,95,99,71,52,120,90,99,69,99,0,85,112,92,0,80,0,45,68,101,0,0,68,66,75,62,110,0,120,106,105,135,107,0,75,112,130,99,68,97,135,109,0,99,82,
