B1,Who will win the National Championship?,2,None,42
B2,Will more than 62 total points be scored in the Sugar Bowl (Texas vs. Washington)?,None,41
B3,Will Michael Penix pass for more than 309 yards against Texas?,1,None,41
B4,Will more than 44 total points be scored in the Rose Bowl (Michigan vs. Alabama)?,None,40
B5,Will Jalen Milroe have more than 234 yards of total offense against Michigan?,None,40
