#RealMamaBear,Bear-in-Law,Blue Orred,Bopper,Bumblerooski,Can't Stop a Badger!,D-Bo,Gigi,GlamKam,Knights of Ren,Leeerroyyy Jeennkinns!!,Ms. Snuffleupagus,Panda,SaschaPicksDogs,Sweet Lou,The Aggie,The Dood,The Dood's Nemesis,TransferPortal
Georgia,Alabama,Alabama,Alabama,Michigan,Alabama,Michigan,Alabama,Michigan,Alabama,Cincinatti,Alabama,Georgia,Michigan,Alabama,Alabama,Alabama,Michigan,Alabama
2,4,3,2,4,4,0,2,2,2,6,4,1,4,5,2,3,2,5
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
4,5,4,4,2,3,2,2,4,0,3,3,6,3,3,0,4,1,2
4,4,3,4,5,5,5,5,10,5,4,4,4,5,5,4,4,3,4
120,120,150,135,95,90,87,68,60,120,80,100,117,145,100,110,120,120,140
