B1,Who will win the National Championship game (2pts)?,2,Alabama,39
B2,Will South Carolina recover a Michigan fumble  in the Outback bowl?,1,Yes,33
B3,Will JT Barrett (Ohio State) score more touchdowns (running and passing (and receiving)) than Sam Donald (USC)?,1,Yes,29
B4,Will Dante Pettis have more than 20 yards in punt return yardage?,1,No,31
B5,Will Clemson gain 345 yards of offense against Alabama?,1,No,37
B6,Will Baker Mayfield have more than 325 yards passing against Georgia?,1,No,36
T1,Tie Breaker:  How many points will be scored by all four teams total in the semifinal games,0,None,39
