B1,Jameis goes for 300+ total yards,1.0,Y
B2,Mariota goes for 325+ total yards,1.0,Y
B3,Cooper goes for 120+ receiving,1.0,N
B4,tOSU goes for 240+ rushing,1.0,Y
B5,MNC Winner,2.0,OH
T1,Rose Bowl total points,0.0,None
