1,BOCA RATON BOWL,10,Marshall,Northern Illinois,1,1
2,POINSETTIA BOWL,2.5,San Diego State,Navy,1,0
3,BAHAMAS BOWL,3,Western Kentucky,Central Michigan,1,1
4,SHERATON HAWAII BOWL,2.5,Rice,Fresno State,1,1
5,HEART OF DALLAS,6,Louisiana Tech,Illinois,1,1
6,QUICK LANE BOWL,3,North Carolina,Rutgers,1,0
7,ST PETERSBURG BOWL,2,UCF,NC State,1,0
8,MILITARY BOWL,3,Cincinnati,Virginia Tech,1,0
9,SUN BOWL,7,Arizona State,Duke,1,1
10,INDEPENDENCE BOWL,3.5,Miami,South Carolina,1,0
11,PINSTRIPE BOWL,2.5,Boston College,Penn State,1,0
12,HOLIDAY BOWL,7,USC,Nebraska,1,1
13,LIBERTY BOWL,3,West Virginia,Texas A&M,1,0
14,RUSSELL ATHLETIC BOWL,3,Oklahoma,Clemson,1,0
15,TEXAS BOWL,6.5,Arkasas,Texas,1,1
16,MUSIC CITY BOWL,7,LSU,Notre Dame,1,0
17,BELK BOWL,6.5,Georgia,Louisville,1,1
18,FOSTER FARMS BOWL,14,Stanford,Maryland,1,1
19,CHICK-FIL-A BOWL,3,TCU,Ole Miss,1,1
20,FIESTA BOWL,3,Arizona,Boise State,2,0
21,ORANGE BOWL,7,Mississippi St,Georgia Tech,2,0
22,OUTBACK BOWL,6.5,Auburn,Wisconsin,1,0
23,COTTON BOWL,2.5,Baylor,Michigan State,1,0
24,CITRUS BOWL,5,Missouri,Minnesota,1,1
25,ROSE BOWL,9.5,Oregon,Florida State,2,1
26,SUGAR BOWL,9.5,Alabama,Ohio State,2,0
27,ARMED FORCES BOWL,3,Pittsburgh,Houston,1,0
28,TAXSLAYER.COM GATOR,3.5,Tennessee,Iowa,1,1
29,ALAMO BOWL,1.5,UCLA,Kansas State,1,1
30,CACTUS BOWL,5.5,Washington,Oklahoma State,1,0
31,BIRMINGHAM BOWL,6.5,Florida,East Carolina,1,1
32,GODADDY.COM BOWL,3.5,Toledo,Arkasas State,1,1
