#blamejameis,#Mama Bear,A Real Quandre,Admiral Akbar,Aggie Fan,Always Lucky,AshSenders,Bears,Beaver Believer?,Blaster,Blindhog2015,Bobcats,Brock,C+C Music Factory,Casa S and S,Coin Toss,Colonel Kurtz,Colt45,Cowboy,Cutie Pie,Dallas Cowboys,D-Bo,Deakins,Detroit Lions,Eclipse,Endless Shrimp,Everest,EVITA,Father Knowsw Best,Gigi-Dawg,Griswald,Gusstsue,Hamburger,Hapa Girl,HarbaughComeHome,Hilltopers,Hula Gal,Iron Man,Islandman 3,Jake & The Neverland Pirates,Jewels on Fire,Just4Fun,KZ,Lauren.e.f,Mango Sorbet,Mimi,Mr. Gamblerer,Mrs. Gamblerer,Oceans 11,Oh Pooh,Optimus Prime,OSUKristi,Panda Bear,Perfect Spiral,poodlypoodlehair,Positive Vibrations,Repo Man,Santa Cruz Bill ,Seahawk 12 Fan,SoCalGal,SuperGrammyMops,Supplemental Income,TDub10%,Teach Rachel,Team Underdog,Tequila Mockingbird,The Interview (Sony Pictures),The Spiderman,The Winning Formula,Troll Doctor,Tyler Rose,Virgil Cain 1,Virgil Cain 2,War Beaver,War Eagle,West Coast Bias,Yoda
SS,S,M,SS,SS,SS,S,M,SS,SS,SS,S,SS,SS,SS,M,M,SS,SS,S,M,S,SS,S,SS,M,SS,S,SS,S,S,SS,S,S,SS,SS,S,S,S,SS,S,SS,SS,SS,S,SS,SS,M,SS,M,S,S,SS,SS,SS,SS,M,SS,S,SS,S,S,SS,M,SS,S,SS,SS,SS,S,SS,SS,SS,SS,SS,SS,SS
T,T,T,T,T,T,O,T,T,O,T,O,T,O,T,T,O,O,O,T,T,O,O,TS,O,T,O,TS,T,O,T,O,O,O,TS,T,T,T,T,O,O,O,T,T,T,T,O,T,T,O,T,TS,O,T,T,T,O,O,O,O,O,T,T,T,T,O,O,O,T,T,T,T,T,T,T,T,T
B,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,AS,B,A,A,A,A,B,A,B,A,A,A,B,A,A,A,B,B,A,A,A,B,A,A,B,B,A,B,A,A,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A
M,MS,M,M,G,M,G,M,M,M,G,M,G,M,M,M,M,M,M,M,MS,M,MS,M,M,M,M,G,G,MS,GS,G,G,G,G,G,M,G,G,M,M,M,M,M,M,MS,M,G,M,G,M,M,M,G,M,G,M,M,M,G,M,M,G,G,MS,MS,MS,MS,M,M,M,M,M,G,MS,M,G
A,A,A,A,A,W,A,W,A,A,W,A,A,W,A,A,A,A,A,A,A,A,A,A,A,W,A,A,A,A,A,AS,A,A,A,W,W,A,W,A,A,W,A,A,AS,A,A,W,A,W,A,A,A,A,A,A,A,W,A,A,A,W,A,A,A,AS,A,A,A,A,A,A,A,A,A,W,A
B,BS,N,B,B,B,M,B,B,M,M,B,B,M,M,B,M,B,B,B,B,BS,B,M,BS,B,M,B,B,BS,M,B,M,B,B,M,B,B,M,B,B,M,B,M,B,B,M,B,N,M,M,B,M,B,B,M,M,M,B,B,B,M,B,B,B,M,B,B,B,BS,B,B,B,B,B,B,B
MO,MO,MO,MOS,MO,MN,MN,MN,MN,MO,MN,MO,MO,MN,MO,MO,MO,MO,MO,MO,MO,MO,MO,NO,MO,MO,MN,MN,MO,MO,MO,MO,MO,MO,MN,MN,MO,MO,MN,MOS,MO,MN,MN,MO,MO,MN,MO,MN,MO,MN,MN,MO,MO,MO,MN,MN,MN,MO,MN,MO,MO,MO,MO,MN,MO,MO,MO,MO,MO,MO,MO,MN,MO,MN,MN,MO,MO
FS,O,OS,O,O,O,FS,F,O,OS,OS,OS,OS,O,OS,OS,OS,O,O,O,O,O,F,O,O,O,OS,F,OS,F,F,F,OS,O,O,O,OS,O,OS,O,OS,OS,OS,OS,F,F,O,F,OS,F,O,F,OS,OS,OS,FS,F,O,OS,F,O,O,OS,O,O,O,O,O,F,OS,OS,O,OS,O,O,O,OS
AS,A,AS,AS,A,AS,OS,AS,AS,O,A,AS,A,A,AS,AS,O,A,AS,A,A,AS,O,A,A,O,O,A,A,AS,AS,AS,O,OS,A,A,A,A,A,AS,A,O,A,AS,AS,AS,O,AS,A,O,AS,O,AS,AS,AS,AS,A,A,AS,A,AS,A,AS,A,A,A,A,AS,AS,A,A,A,A,A,A,AS,AS
P,H,H,P,P,P,P,PS,P,P,H,P,P,H,P,H,P,H,P,H,P,H,P,H,H,H,H,PS,P,H,P,P,P,P,P,H,H,H,PS,P,PS,P,P,P,P,H,P,H,H,H,P,H,H,H,P,P,P,P,P,P,P,P,H,H,H,P,P,P,H,P,H,H,H,P,P,H,P
