#blamejameis,#Mama Bear,A Real Quandre,Admiral Akbar,Aggie Fan,Always Lucky,AshSenders,Bears,Beaver Believer?,Blindhog2015,Bobcats,Brock,C+C Music Factory,Casa S and S,Coin Toss,Colonel Kurtz,Cowboy,Cutie Pie,Dallas Cowboys,D-Bo,Deakins,Detroit Lions,Eclipse,Endless Shrimp,Everest,EVITA,Father Knowsw Best,Gigi-Dawg,Griswald,Gusstsue,Hamburger,Hapa Girl,HarbaughComeHome,Hilltopers,Iron Man,Islandman 3,Jake & The Neverland Pirates,Jewels on Fire,Just Guessin,Just4Fun,KZ,Lauren.e.f,Mango Sorbet,Mimi,Mr. Gamblerer,Mrs. Gamblerer,Oh Pooh,Optimus Prime,OSUKristi,Panda Bear,Perfect Spiral,poodlypoodlehair,Positive Vibrations,Repo Man,Seahawk 12 Fan,SoCalGal,Still Guessin,SuperGrammyMops,Supplemental Income,TDub10%,Teach Rachel,Team Underdog,Tequila Mockingbird,The Interview (Sony Pictures),The Spiderman,The Winning Formula,Troll Doctor,Tyler Rose,Virgil Cain 1,Virgil Cain 2,War Beaver,War Eagle,West Coast Bias,Yoda
B,B,P,P,P,P,B,B,P,P,B,P,B,B,P,B,B,B,P,B,B,B,P,B,N,P,P,P,P,B,B,PS,P,B,P,P,P,P,,B,B,B,B,P,P,B,PS,B,B,P,B,B,B,B,B,B,,B,P,P,B,B,P,B,B,P,B,B,B,B,P,P,B,B
U,U,U,U,US,U,N,U,US,U,U,U,N,U,U,U,US,US,US,US,U,U,U,U,U,U,U,N,N,U,U,U,US,US,US,N,U,U,,U,U,U,U,N,U,N,N,UD,U,U,U,U,N,N,U,US,,U,US,U,N,N,U,U,U,U,U,U,U,U,US,U,U,U
T,W,W,W,T,T,W,TS,W,W,T,W,T,T,W,W,T,T,W,T,T,T,W,W,T,T,T,W,W,W,W,W,T,W,T,W,T,T,,W,T,T,W,T,W,T,T,T,W,W,W,T,T,T,W,T,,T,T,T,TS,W,W,T,T,T,,W,W,W,W,W,T,T
O,O,O,C,O,O,C,O,C,O,O,O,O,C,O,C,O,C,O,O,O,O,C,C,C,C,C,C,O,C,C,C,C,C,O,O,O,O,,C,C,O,O,O,O,C,CS,O,O,O,O,O,C,O,C,O,,C,O,O,O,C,C,O,O,O,C,O,O,O,O,C,C,C
T,TS,A,T,A,T,T,T,A,A,A,A,T,A,A,AS,T,T,T,T,A,T,A,T,AS,T,A,T,A,A,AS,A,A,T,T,TS,A,T,,T,A,A,A,T,T,A,T,A,T,A,T,T,A,T,A,T,,A,A,T,T,T,AS,T,A,A,A,T,T,A,A,AS,A,T
L,N,N,L,L,L,L,L,L,N,L,LS,L,L,N,LS,N,LS,L,L,L,N,N,LS,L,L,L,N,L,L,LS,L,L,L,L,N,N,L,,L,L,L,L,N,L,N,N,N,N,L,L,L,L,L,L,L,,LS,L,L,NS,L,L,N,L,LS,LS,L,L,L,L,L,L,L
L,G,GS,G,G,L,L,G,L,G,G,G,GS,L,G,G,L,G,G,G,L,G,G,L,G,G,G,G,G,G,G,G,G,G,L,G,G,G,,L,G,G,G,G,GS,L,L,L,GS,G,G,G,L,G,G,G,,G,G,G,G,G,L,G,L,L,G,G,G,G,G,G,L,L
SS,S,M,SS,SS,SS,S,M,SS,SS,S,SS,SS,SS,M,M,SS,S,M,S,SS,S,SS,M,SS,S,SS,S,S,SS,S,S,SS,SS,S,S,SS,S,,SS,SS,SS,S,SS,SS,M,M,S,S,SS,SS,SS,SS,M,S,SS,,S,S,SS,M,SS,S,SS,SS,SS,S,SS,SS,SS,SS,SS,SS,SS
T,T,T,T,T,T,O,T,T,T,O,T,O,T,T,O,O,T,T,O,O,TS,O,T,O,TS,T,O,T,O,O,O,TS,T,T,T,O,O,,O,T,T,T,T,O,T,O,T,TS,O,T,T,T,O,O,O,,O,T,T,T,T,O,O,O,T,T,T,T,T,T,T,T,T
B,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,AS,B,A,A,A,A,B,A,B,A,A,B,A,A,A,,B,B,A,A,A,B,A,B,B,A,B,A,A,B,A,A,A,,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A
M,MS,M,M,G,M,G,M,M,G,M,G,M,M,M,M,M,M,MS,M,MS,M,M,M,M,G,G,MS,GS,G,G,G,G,G,G,G,M,M,,M,M,M,M,MS,M,G,G,M,M,M,G,M,G,M,M,G,,M,M,G,G,MS,MS,MS,MS,M,M,M,M,M,G,MS,M,G
A,A,A,A,A,W,A,W,A,W,A,A,W,A,A,A,A,A,A,A,A,A,A,W,A,A,A,A,A,AS,A,A,A,W,A,W,A,A,,W,A,A,AS,A,A,W,W,A,A,A,A,A,A,A,A,A,,A,W,A,A,A,AS,A,A,A,A,A,A,A,A,A,W,A
